mN/GeV	c tau (meters) for Utau = 1
0.5739489538246894	0.01772985765903713
0.5814823031727799	0.016849491036723795
0.5891145312661352	0.016007820430163182
0.5968469359346869	0.015203871325816536
0.6046808320429926	0.014436581732533267
0.6126175517138244	0.01370482274404748
0.6206584445546917	0.01300741661817511
0.6288048778873342	0.012343152534177103
0.6370582369802328	0.011710800205429457
0.6454199252841663	0.011109121531932916
0.6538913646708632	0.010536880478144665
0.6624739956747866	0.009992851357719214
0.67116927773809	0.00947582569933586
0.6799786894587896	0.00898461785796831
0.6889037288421951	0.008518069524599532
0.6979459135556384	0.00807505327520413
0.7071067811865475	0.007654475287341756
0.7163878895039065	0.007255277340336211
0.7257908167231498	0.0068764382030414165
0.7353171617745274	0.0065169745018224335
0.7449685445750016	0.006175941150733423
0.7547466063037043	0.005852431416033189
0.7646530096810125	0.005545576678170704
0.7746894392512895	0.0052545459462035845
0.784857601669334	0.0049746004452869835
0.7951592259905896	0.004702291267296837
0.805596063965163	0.004439210909675733
0.8161698903357044	0.004186499184715222
0.8268825031391936	0.00394490754110402
0.8377357240126891	0.003714865850949621
0.8487313985030909	0.003496544141803051
0.8598713963809687	0.00328990757773318
0.8711576119585073	0.00309476401123221
0.8825919644116281	0.0029108041233884803
0.8941763981063381	0.0027376346059886764
0.9059128829293591	0.0025748050805492516
0.9178034146231009	0.0024218295530827167
0.9298500151250296	0.002278203216209074
0.9420547329114896	0.002143415367321323
0.9544196433460364	0.0020169591382179965
0.9669468490323483	0.0018982027538821617
0.9796384801717635	0.0017863697964878539
0.9924966949255101	0.0016689626184710296
1.0055236797816978	0.0015620673760037794
1.0187216499271174	0.0014620509991385311
1.0320928496239252	0.001368468189848536
1.045639552591273	0.0012809026858755475
1.0593640623919427	0.0011989653512496589
1.0732687128240586	0.0011222923935749096
1.0873558683179398	0.0010505436995839454
1.101627924338164	0.0009834012810390103
1.116087307790906	0.0009205678235921956
1.1307364774366209	0.0008617653317163087
1.1455779243081503	0.0008067338632831586
1.1606141721343117	0.0007552303477992922
1.1758477777690437	0.0007070274827132048
1.1912813316261963	0.0006619127025847959
1.2069174581200166	0.0006196872162587227
1.222758816111418	0.0005801651075102896
1.238808099360113	0.0005431724949381099
1.2550680369826743	0.0005085467471609764
1.2715413939166094	0.0004761357496424514
1.2882309713905276	0.0004457972197128878
1.3051396074004797	0.0004173980665892655
1.3222701771925465	0.00039081379340782577
1.3396255937517607	0.0003659279384841158
1.3572088082974532	0.0003426315532026905
1.3750228107850915	0.000320822714111196
1.3930706304147114	0.000300406066957094
1.4113553361460225	0.0002812924005556876
1.4298800372202707	0.0002633982485192964
1.4486478836889503	0.00024664551700892247
1.46766206694946	0.00023096113679260913
1.4869258202877884	0.00021627673800839366
1.5064424194283201	0.00020252834613724
